county,source_result_key,pair_count,example_target_polygon_key,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3,score_gap_1_2
Spartanburg,Spartanburg - Drayton Fire Station,1,Spartanburg - Dayton Fire Station,Spartanburg - Startex Fire Station,0.8529,Spartanburg - Converse Fire Station,0.8406,Spartanburg - Pelham Fire Station,0.8358,0.0124
Lexington,Lexington - 7 Oaks,1,Lexington - Seven Oaks,Lexington - Seven Oaks,0.8500,Lexington - Oakwood,0.8108,Lexington - Red Bank,0.7895,0.0392
Colleton,Colleton - Ashton,1,Colleton - Ashton-Lodge,Colleton - Ashton-Lodge,0.8500,Colleton - Edisto,0.8235,Colleton - Stokes,0.8235,0.0265
Spartanburg,Spartanburg - Reidville A,1,Spartanburg - Reidville Elementary,Spartanburg - Reidville Elementary,0.8475,Spartanburg - Reidville Fire Station,0.8197,Spartanburg - Valley Falls,0.7843,0.0278
Spartanburg,Spartanburg - Arrowood Baptist,1,Spartanburg - Chesnee Elementary,Spartanburg - Croft Baptist,0.8421,Spartanburg - Lake Bowen Baptist,0.8065,Spartanburg - Eastside Baptist,0.8000,0.0357
Spartanburg,Spartanburg - Silverhill Methodist,1,Spartanburg - Victor Mill Methodist,Spartanburg - Victor Mill Methodist,0.8406,Spartanburg - Silverhill Memorial Umc,0.8169,Spartanburg - Trinity Methodist,0.8000,0.0237
Horry,Horry - 4 Mile,1,Horry - Four Mile,Horry - Four Mile,0.8387,Horry - Maple,0.8148,Horry - Leon,0.7692,0.0239
Spartanburg,Spartanburg - Gramling,1,Spartanburg - Gramling Methodist,Spartanburg - Rainbow,0.8372,Spartanburg - Gramling Methodist,0.8148,Spartanburg - Drayton,0.7907,0.0224
Spartanburg,Spartanburg - Roebuck A,1,Spartanburg - Roebuck Elementary,Spartanburg - Roebuck Elementary,0.8364,Spartanburg - Roebuck Bethlehem,0.8148,Spartanburg - Hope,0.7805,0.0215
Spartanburg,Spartanburg - Canaan Baptist,1,Spartanburg - Canaan,Spartanburg - Croft Baptist,0.8364,Spartanburg - Canaan,0.8333,Spartanburg - Cornerstone Baptist,0.8197,0.0030
Greenwood,Greenwood - Greenwood No. 1,1,Greenwood - Loblolly Pines,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,Greenwood - Stonewood,0.7083,0.0000
Greenwood,Greenwood - Greenwood No. 2,1,Greenwood - Bees Ferry,Greenwood - Greenwood High,0.8302,Greenwood - Greenwood Mill,0.8302,Greenwood - Stonewood,0.7083,0.0000
