source_county_fips,source_county_name,source_name,source_id,source_key_display,source_key_norm,source_area_m2,target_county_name,target_county_fips,target_precinct,target_key_display,target_key_norm,overlap_area_m2,share_of_source,share_rank
001,Abbeville,VTD 1,450011,Abbeville - VTD 1,ABBEVILLE - VTD 1,39252418.920111,Abbeville,001,Broadmouth,Abbeville - Broadmouth,ABBEVILLE - BROADMOUTH,38777288.878887,0.987896,1
001,Abbeville,VTD 1,450011,Abbeville - VTD 1,ABBEVILLE - VTD 1,39252418.920111,Abbeville,001,Donalds,Abbeville - Donalds,ABBEVILLE - DONALDS,475129.836366,0.012104,2
001,Abbeville,VTD 2,450012,Abbeville - VTD 2,ABBEVILLE - VTD 2,32190213.922290,Abbeville,001,Hall's Store,Abbeville - Hall's Store,ABBEVILLE - HALLS STORE,29165956.735618,0.906050,1
001,Abbeville,VTD 2,450012,Abbeville - VTD 2,ABBEVILLE - VTD 2,32190213.922290,Abbeville,001,Donalds,Abbeville - Donalds,ABBEVILLE - DONALDS,3023084.302921,0.093913,2
001,Abbeville,VTD 4,450014,Abbeville - VTD 4,ABBEVILLE - VTD 4,37579758.915267,Abbeville,001,Donalds,Abbeville - Donalds,ABBEVILLE - DONALDS,37394436.892496,0.995069,1
001,Abbeville,VTD 4,450014,Abbeville - VTD 4,ABBEVILLE - VTD 4,37579758.915267,Abbeville,001,Keowee,Abbeville - Keowee,ABBEVILLE - KEOWEE,185321.624705,0.004931,2
001,Abbeville,VTD 5,450015,Abbeville - VTD 5,ABBEVILLE - VTD 5,93553413.730636,Abbeville,001,Due West,Abbeville - Due West,ABBEVILLE - DUE WEST,92064399.171134,0.984084,1
001,Abbeville,VTD 5,450015,Abbeville - VTD 5,ABBEVILLE - VTD 5,93553413.730636,Abbeville,001,Keowee,Abbeville - Keowee,ABBEVILLE - KEOWEE,1489014.559502,0.015916,2
001,Abbeville,VTD 3,450013,Abbeville - VTD 3,ABBEVILLE - VTD 3,100523357.388116,Abbeville,001,Keowee,Abbeville - Keowee,ABBEVILLE - KEOWEE,100521556.128027,0.999982,1
001,Abbeville,VTD 6,450016,Abbeville - VTD 6,ABBEVILLE - VTD 6,98324046.163233,Abbeville,001,Antreville,Abbeville - Antreville,ABBEVILLE - ANTREVILLE,97762284.532818,0.994287,1
001,Abbeville,VTD 6,450016,Abbeville - VTD 6,ABBEVILLE - VTD 6,98324046.163233,Abbeville,001,Keowee,Abbeville - Keowee,ABBEVILLE - KEOWEE,486559.373881,0.004949,2
001,Abbeville,VTD 6,450016,Abbeville - VTD 6,ABBEVILLE - VTD 6,98324046.163233,Abbeville,001,Lowndesville,Abbeville - Lowndesville,ABBEVILLE - LOWNDESVILLE,75160.687840,0.000764,3
001,Abbeville,VTD 8,450018,Abbeville - VTD 8,ABBEVILLE - VTD 8,125460332.069083,Abbeville,001,Lowndesville,Abbeville - Lowndesville,ABBEVILLE - LOWNDESVILLE,125460021.193106,0.999998,1
001,Abbeville,VTD 7,450017,Abbeville - VTD 7,ABBEVILLE - VTD 7,98074554.965068,Abbeville,001,Cold Springs,Abbeville - Cold Springs,ABBEVILLE - COLD SPRINGS,98070869.737667,0.999962,1
001,Abbeville,VTD 17,4500117,Abbeville - VTD 17,ABBEVILLE - VTD 17,48628915.657071,Abbeville,001,Abbeville No. 2,Abbeville - Abbeville No. 2,ABBEVILLE - ABBEVILLE NO. 2,48628915.657071,1.000000,1
001,Abbeville,VTD 14,4500114,Abbeville - VTD 14,ABBEVILLE - VTD 14,53980442.386751,Abbeville,001,Abbeville No. 2,Abbeville - Abbeville No. 2,ABBEVILLE - ABBEVILLE NO. 2,53977080.283605,0.999938,1
