source_county_fips,source_county_name,source_name,source_id,source_key_display,source_key_norm,source_area_m2,target_county_name,target_county_fips,target_precinct,target_key_display,target_key_norm,overlap_area_m2,share_of_source,share_rank
001,Abbeville,VTD 2,450012,Abbeville - VTD 2,ABBEVILLE - VTD 2,32190214.259998,Abbeville,001,Hall's Store,Abbeville - Hall's Store,ABBEVILLE - HALLS STORE,29165956.796805,0.906050,1
001,Abbeville,VTD 2,450012,Abbeville - VTD 2,ABBEVILLE - VTD 2,32190214.259998,Abbeville,001,Donalds,Abbeville - Donalds,ABBEVILLE - DONALDS,3023084.302921,0.093913,2
001,Abbeville,VTD 1,450011,Abbeville - VTD 1,ABBEVILLE - VTD 1,39252418.873136,Abbeville,001,Broadmouth,Abbeville - Broadmouth,ABBEVILLE - BROADMOUTH,38777288.878887,0.987896,1
001,Abbeville,VTD 1,450011,Abbeville - VTD 1,ABBEVILLE - VTD 1,39252418.873136,Abbeville,001,Donalds,Abbeville - Donalds,ABBEVILLE - DONALDS,475129.836366,0.012104,2
001,Abbeville,VTD 4,450014,Abbeville - VTD 4,ABBEVILLE - VTD 4,37579758.915267,Abbeville,001,Donalds,Abbeville - Donalds,ABBEVILLE - DONALDS,37394436.892496,0.995069,1
001,Abbeville,VTD 4,450014,Abbeville - VTD 4,ABBEVILLE - VTD 4,37579758.915267,Abbeville,001,Keowee,Abbeville - Keowee,ABBEVILLE - KEOWEE,185321.624705,0.004931,2
001,Abbeville,VTD 5,450015,Abbeville - VTD 5,ABBEVILLE - VTD 5,93553407.184116,Abbeville,001,Due West,Abbeville - Due West,ABBEVILLE - DUE WEST,92064399.171134,0.984084,1
001,Abbeville,VTD 5,450015,Abbeville - VTD 5,ABBEVILLE - VTD 5,93553407.184116,Abbeville,001,Keowee,Abbeville - Keowee,ABBEVILLE - KEOWEE,1489008.012982,0.015916,2
001,Abbeville,VTD 3,450013,Abbeville - VTD 3,ABBEVILLE - VTD 3,100523363.934636,Abbeville,001,Keowee,Abbeville - Keowee,ABBEVILLE - KEOWEE,100521562.674547,0.999982,1
001,Abbeville,VTD 6,450016,Abbeville - VTD 6,ABBEVILLE - VTD 6,98324022.378104,Abbeville,001,Antreville,Abbeville - Antreville,ABBEVILLE - ANTREVILLE,97762285.455838,0.994287,1
001,Abbeville,VTD 6,450016,Abbeville - VTD 6,ABBEVILLE - VTD 6,98324022.378104,Abbeville,001,Keowee,Abbeville - Keowee,ABBEVILLE - KEOWEE,486559.373881,0.004949,2
001,Abbeville,VTD 6,450016,Abbeville - VTD 6,ABBEVILLE - VTD 6,98324022.378104,Abbeville,001,Lowndesville,Abbeville - Lowndesville,ABBEVILLE - LOWNDESVILLE,75161.045572,0.000764,3
001,Abbeville,VTD 8,450018,Abbeville - VTD 8,ABBEVILLE - VTD 8,125460332.643084,Abbeville,001,Lowndesville,Abbeville - Lowndesville,ABBEVILLE - LOWNDESVILLE,125460022.690127,0.999998,1
001,Abbeville,VTD 7,450017,Abbeville - VTD 7,ABBEVILLE - VTD 7,98074554.965068,Abbeville,001,Cold Springs,Abbeville - Cold Springs,ABBEVILLE - COLD SPRINGS,98070869.737667,0.999962,1
001,Abbeville,VTD 17,4500117,Abbeville - VTD 17,ABBEVILLE - VTD 17,48628915.657071,Abbeville,001,Abbeville No. 2,Abbeville - Abbeville No. 2,ABBEVILLE - ABBEVILLE NO. 2,48628915.657071,1.000000,1
001,Abbeville,VTD 14,4500114,Abbeville - VTD 14,ABBEVILLE - VTD 14,53980437.656437,Abbeville,001,Abbeville No. 2,Abbeville - Abbeville No. 2,ABBEVILLE - ABBEVILLE NO. 2,53977080.000859,0.999938,1
001,Abbeville,VTD 13,4500113,Abbeville - VTD 13,ABBEVILLE - VTD 13,73362720.349079,Abbeville,001,Abbeville No. 3,Abbeville - Abbeville No. 3,ABBEVILLE - ABBEVILLE NO. 3,73351519.937086,0.999847,1
001,Abbeville,VTD 16,4500116,Abbeville - VTD 16,ABBEVILLE - VTD 16,59235956.995998,Abbeville,001,Lebanon,Abbeville - Lebanon,ABBEVILLE - LEBANON,59234730.584975,0.999979,1
001,Abbeville,VTD 12,4500112,Abbeville - VTD 12,ABBEVILLE - VTD 12,71966278.143695,Abbeville,001,Lebanon,Abbeville - Lebanon,ABBEVILLE - LEBANON,71829771.563411,0.998103,1
001,Abbeville,VTD 12,4500112,Abbeville - VTD 12,ABBEVILLE - VTD 12,71966278.143695,Abbeville,001,Abbeville No. 4,Abbeville - Abbeville No. 4,ABBEVILLE - ABBEVILLE NO. 4,125352.972920,0.001742,2
001,Abbeville,VTD 12,4500112,Abbeville - VTD 12,ABBEVILLE - VTD 12,71966278.143695,Abbeville,001,Lowndesville,Abbeville - Lowndesville,ABBEVILLE - LOWNDESVILLE,10732.272896,0.000149,3
001,Abbeville,VTD 18,4500118,Abbeville - VTD 18,ABBEVILLE - VTD 18,67034193.135104,Abbeville,001,Calhoun Falls,Abbeville - Calhoun Falls,ABBEVILLE - CALHOUN FALLS,67034192.337674,1.000000,1
001,Abbeville,VTD 15,4500115,Abbeville - VTD 15,ABBEVILLE - VTD 15,62924327.906308,Abbeville,001,Calhoun Falls,Abbeville - Calhoun Falls,ABBEVILLE - CALHOUN FALLS,57236648.189941,0.909611,1
001,Abbeville,VTD 15,4500115,Abbeville - VTD 15,ABBEVILLE - VTD 15,62924327.906308,Abbeville,001,Lowndesville,Abbeville - Lowndesville,ABBEVILLE - LOWNDESVILLE,5687679.716367,0.090389,2
001,Abbeville,VTD 11,4500111,Abbeville - VTD 11,ABBEVILLE - VTD 11,134336737.152704,Abbeville,001,Lowndesville,Abbeville - Lowndesville,ABBEVILLE - LOWNDESVILLE,123393384.009612,0.918538,1
001,Abbeville,VTD 11,4500111,Abbeville - VTD 11,ABBEVILLE - VTD 11,134336737.152704,Abbeville,001,Calhoun Falls,Abbeville - Calhoun Falls,ABBEVILLE - CALHOUN FALLS,10943352.263015,0.081462,2
001,Abbeville,VTD 9,450019,Abbeville - VTD 9,ABBEVILLE - VTD 9,55300458.041625,Abbeville,001,Abbeville No. 4,Abbeville - Abbeville No. 4,ABBEVILLE - ABBEVILLE NO. 4,54731628.569131,0.989714,1
001,Abbeville,VTD 9,450019,Abbeville - VTD 9,ABBEVILLE - VTD 9,55300458.041625,Abbeville,001,Cold Springs,Abbeville - Cold Springs,ABBEVILLE - COLD SPRINGS,405893.643612,0.007340,2
001,Abbeville,VTD 9,450019,Abbeville - VTD 9,ABBEVILLE - VTD 9,55300458.041625,Abbeville,001,Antreville,Abbeville - Antreville,ABBEVILLE - ANTREVILLE,143877.065843,0.002602,3
001,Abbeville,VTD 9,450019,Abbeville - VTD 9,ABBEVILLE - VTD 9,55300458.041625,Abbeville,001,Abbeville No. 1,Abbeville - Abbeville No. 1,ABBEVILLE - ABBEVILLE NO. 1,13274.952914,0.000240,4
