district,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_ASI24,CVAP_AMI24,CVAP_NHP24,CVAP_2OM24
1,90277,2980,87312,77760,5576,908,265,25,246
2,89367,3666,85689,76015,6805,684,170,34,248
3,93829,2355,91487,79596,7754,877,547,16,131
4,84525,2250,82261,60564,18568,455,157,29,225
5,88336,4566,83788,73754,6524,975,106,20,217
6,84320,5419,78902,66340,7892,1974,136,40,102
7,80557,6357,74153,41846,28829,863,145,33,159
8,90246,5329,84953,68082,11954,1958,216,28,369
9,88686,3153,85515,62983,19153,857,301,51,121
10,87524,2764,84745,63744,18773,913,16,18,99
11,86800,4877,81919,55938,21792,2458,116,12,189
12,87209,5424,81763,59945,17511,2783,26,37,224
13,88962,3078,85895,67601,14055,1380,103,74,317
14,85173,2640,82604,67243,12655,309,193,34,256
15,89733,3661,86046,68003,13940,1420,122,5,214
16,89151,6499,82655,67661,9561,3367,54,19,255
17,89713,2472,87211,48685,35337,544,612,19,188
18,86674,2565,84129,66100,14898,1451,72,0,233
19,82792,3166,79636,24143,53123,794,55,94,425
20,86889,2954,83931,64764,15269,1424,60,109,166
21,83550,3143,80356,33952,42539,1316,77,35,176
22,83385,3547,79833,36873,38325,2419,37,14,487
23,87409,3859,83489,67146,13315,1116,120,14,255
24,91680,4204,87471,62938,21552,841,114,30,93
25,86867,4386,82559,58372,21527,594,56,17,176
26,85154,3503,81689,55422,22077,1663,92,9,323
27,90008,2067,87963,63052,22864,285,133,9,210
28,92628,3074,89435,77424,9587,929,162,183,104
29,85336,1378,83956,41469,39355,467,728,5,216
30,84095,1175,82928,40737,39344,227,592,19,80
31,79202,2060,77138,48344,26467,1030,133,27,58
32,82777,1281,81538,38938,40721,311,140,8,154
33,98173,4591,93524,75445,13964,1252,140,23,354
34,106085,4169,102048,94201,4649,956,129,61,294
35,91123,5783,85311,47032,33626,1553,161,106,449
36,81817,1629,80228,39875,37788,710,106,132,92
37,81669,3655,78015,58144,16591,1450,209,44,130
38,80702,4045,76660,56077,16589,1454,105,25,354
39,86602,4433,82141,45865,32297,1272,252,30,313
40,81164,1392,79727,38211,39345,440,123,64,383
41,82128,3749,78379,57118,17724,1336,314,14,254
42,82007,4458,77608,34154,39688,1730,81,28,306
43,96114,3662,92478,77728,11952,999,54,30,130
44,82930,3800,79136,62698,12328,2150,144,94,255
45,82187,3684,78447,39974,35561,362,80,10,406
46,94074,6357,87719,80114,5728,722,20,4,84
